Id,ProductionBudget,DomesticGross,WorldwideGross,DomesticBoxOffice,InternationalBoxOffice,WorldwideBoxOffice,DomesticDVDSales,DomesticBluRaySales,TotalDomesticVideoSales,OpeningWeekend,Legs,InflAdjDomBO,RunningTime
163,175000000,77047065,251509294,77047065,174462229,251509294,8261482,10760312,19021794,21844045,3.53,90475742,103
164,175000000,39175066,139630336,39175066,100455270,139630336,9534625,7834276,17368901,15371270,2.55,47079958,126
165,175000000,38362475,151716815,38362475,113354340,151716815,7917433,10245055,18162488,9910310,3.87,50829996,127
166,175000000,1399001,12271142,1399001,10872141,12271142,1011073,1108666,2119739,578047,2.42,1399001,100
167,170000000,718732821,1455073504,718732821,736340683,1455073504,21467959,39219564,60687523,126707459,5.67,735796748,131
168,170000000,417719760,1308323302,417719760,890603542,1308323302,24550781,43460799,68011580,148024610,2.82,494294079,128
169,170000000,333714112,770882395,333714112,437168283,770882395,65394680,86356422,151751102,94320883,3.54,440239450,121
170,170000000,312433331,621156389,312433331,308723058,621156389,131317596,55176260,186493856,128122480,2.44,426873425,125
171,170000000,259746958,714401889,259746958,454654931,714401889,34102777,45569285,79672062,95023721,2.73,342726093,135
172,170000000,208545589,710644566,208545589,502098977,710644566,24169533,19139587,43309120,72611427,2.87,275167855,130
173,170000000,196698043,320838625,196698043,124140582,320838625,,,,23325035,8.43,332789628,92
174,170000000,155136755,401021746,155136755,245884991,401021746,32899979,18738861,51638840,56217700,2.76,210097263,127
175,170000000,150358296,433058296,150358296,282700000,433058296,,,,44041440,3.41,268799731,109
176,170000000,120150546,300150546,120150546,180000000,300150546,,,,51748040,2.32,208570513,132
177,170000000,114766307,353166307,114766307,238400000,353166307,11269512,13064807,24334319,45990748,2.5,135063407,130
178,170000000,110500138,383299914,110500138,272799776,383299914,12952439,23683483,36635922,47776293,2.31,130042741,132
179,170000000,93436322,206627518,93436322,113191196,206627518,6539195,5684251,12223446,33028165,2.83,119483213,129
180,170000000,85838210,401900040,85838210,316061830,401900040,5055545,19605010,24660555,28525613,3.01,101018863,122
181,170000000,77042381,276928112,77042381,199885731,276928112,5389499,7127654,12517153,26858726,2.87,96013504,113
182,168000000,67587546,174287546,67587546,106700000,174287546,,,,26326462,2.57,67587549,148
183,165000000,376851080,1004004592,376851080,627153512,1004004592,10691264,22025796,32717060,145075625,2.6,385798165,146
184,165000000,238736787,756244673,238736787,517507886,756244673,62214624,14307330,76521954,70838207,3.37,326182835,93
185,165000000,232641920,676343174,232641920,443701254,676343174,15308417,44459797,59768214,85058311,2.74,289815632,115
186,165000000,222527828,647263005,222527828,424735177,647263005,47958204,54466552,102424756,56215889,3.96,293156182,108
187,165000000,217851976,495141736,217851976,277289760,495141736,148977941,52821128,201799069,43732319,4.98,297549021,91
188,165000000,203225563,642037037,203225563,438811474,642037037,15770126,38033025,53803151,47510360,4.28,263077793,165
189,165000000,189412677,496511521,189412677,307098844,496511521,70601625,59911841,130513466,49038712,3.86,256207171,101
190,165000000,111031267,430153216,111031267,319121949,430153216,3659706,17341773,21001479,41011174,2.71,117487070,156
191,165000000,103144286,384169424,103144286,281025138,384169424,10189110,20660280,30849390,41039944,2.51,128542811,119
192,163000000,100368560,176038324,100368560,75669764,176038324,26150672,24512309,50662981,36431290,2.76,136440487,118
193,160000000,504014165,1268697483,504014165,764683318,1268697483,29035676,59982623,89018299,174750616,2.88,605716019,123
194,160000000,391362492,1132298674,391362492,740936182,1132298674,21566898,49888545,71455443,92579212,4.23,460430390,129
195,160000000,335061807,1131849702,335061807,796787895,1131849702,29074082,43382929,72457011,67873522,4.94,395605216,143
196,160000000,322719944,807330936,322719944,484610992,807330936,179054121,33467,179087588,121629270,2.65,505657115,92
197,160000000,293662683,826873382,293662683,533210699,826873382,90809548,76649138,167458686,62785337,4.68,399851674,147
198,160000000,281723902,646219954,281723902,364496052,646219954,23875470,31376195,55251665,102665981,2.74,360013839,136
199,160000000,238679850,789300444,238679850,550620594,789300444,56518952,75606925,132125877,97375245,2.45,316478324,130
200,160000000,200676069,529076069,200676069,328400000,529076069,17787732,27382049,45169781,93188384,2.15,264784332,123
201,160000000,171130165,397369969,171130165,226239804,397369969,,,,58400788,2.93,171130165,145
202,160000000,146408305,355408305,146408305,209000000,355408305,29560889,32646536,62207425,55101604,2.66,199026677,132
203,160000000,127509326,329631958,127509326,202122632,329631958,45170554,1689355,46859909,26853816,4.75,188353130,167
204,160000000,63150991,217986320,63150991,154835329,217986320,26534645,12418420,38953065,17619622,3.58,86282333,108
205,160000000,60674817,181674817,60674817,121000000,181674817,20391408,,20391408,22155410,2.74,99858697,98
206,160000000,47365290,438899824,47365290,391534534,438899824,4952823,12513015,17465838,24166110,1.96,59028650,123
207,159000000,0,914706,,914706,914706,,,,,,,210
208,157750000,67653287,114797989,67653287,47144702,114797989,770884,947022,1717906,24082475,2.81,67653287,123
209,156000000,61433527,122333118,61433527,60899591,122333118,8419733,7521871,15941604,20223544,3.04,76561080,107
210,155000000,267762265,372186517,267762265,104424252,372186517,,,,81251415,3.3,267762265,122
